Rank,Title,Theaters,Total Gross,Release Date,Distributor
191,Lourdes2022 Re-release,624,"$197,702 ",2/8/2023 0:00,Fathom Events
192,When You Finish Saving the World,403,"$196,920 ",1/20/2023 0:00,A24
193,Landscape with Invisible Hand,304,"$193,829 ",8/18/2023 0:00,'-
194,"Lyle, Lyle, Crocodile","4,350","$46,888,441 ",10/7/2023 0:00,Sony Pictures Entertainment (SPE)
195,The Conformist2023 Re-release,7,"$180,135 ",1/6/2023 0:00,Kino Lorber
196,Contempt4k Restoration - 60th Anniversary,8,"$173,816 ",6/30/2023 0:00,Rialto Pictures
197,The Wrath of Becky,274,"$168,109 ",5/26/2023 0:00,Quiver Distribution
198,The Starling Girl,114,"$161,290 ",5/12/2023 0:00,Bleecker Street Media
199,¡Que viva México!,90,"$161,222 ",3/24/2023 0:00,Sony Pictures Entertainment (SPE)
200,Enys Men,62,"$189,579 ",3/31/2023 0:00,'-
